Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
8,89591830,50,58,4,Yes,15596372,13296372,13,0,20,Yes,15423340,13298340,9,0,12,Yes,16979072,13302822,11,2,18,Yes,13987934,13305434,5,1,4,Yes,13801697,13308103,2,0,2,Yes,13803415,13309821,2,0,2
Only Bak,52597403,16,11,0,No,1983708,983708,6,0,10,Yes,10059568,10059568,0,0,0,Yes,10061563,10061563,0,1,0,Yes,10089595,10089595,0,0,0,Yes,10091797,10091797,0,0,0,Yes,10311172,10091797,1,0,1
MINIxur'kthan,102928634,76,103,7,Yes,16297711,13297711,14,1,24,Yes,16804946,13304946,13,0,20,Yes,17618997,13297747,12,3,22,Yes,16865537,13300693,8,2,14,Yes,18104385,13284227,9,0,13,Yes,17237058,13288306,6,1,10
GrandMoff GOAT,83510737,22,43,1,Yes,15101910,13001910,12,0,21,Yes,14510767,13010767,6,0,10,Yes,14188373,13005873,4,2,8,Yes,13005109,13005109,0,0,0,Yes,13693539,13011039,2,0,4,Yes,13011039,13011039,0,0,0
Skcampy,58548794,7,36,0,Yes,15309267,13109267,12,0,22,No,2597601,1097601,6,0,10,No,862422,521172,1,2,2,Yes,13135791,13135791,0,0,0,Yes,13480710,13139460,1,0,2,Yes,13163003,13163003,0,0,0
OhMyPretzel,67943831,33,39,0,Yes,13883445,12183445,10,0,17,Yes,14192702,12192702,7,0,11,Yes,13308515,12217265,4,1,8,No,1621421,938921,1,2,1,Yes,12222077,12222077,0,0,0,Yes,12715671,12222077,1,0,2
The Living Force,44792194,13,8,1,Yes,7937562,7237562,3,0,4,Yes,7626690,7251690,3,0,3,Yes,7254321,7254321,2,0,0,Yes,7430200,7267700,1,0,1,Yes,7269598,7269598,0,0,0,Yes,7273823,7273823,0,0,0
Scary Poppins,38165693,0,4,0,Yes,6478392,6278392,1,0,2,Yes,6529888,6279888,1,0,2,Yes,6283149,6283149,1,0,0,Yes,6286185,6286185,0,0,0,Yes,6289701,6289701,0,0,0,Yes,6298378,6298378,0,0,0
Seeuker,72677478,5,0,0,Yes,12084112,12084112,0,0,0,Yes,12111683,12111683,0,0,0,Yes,12119083,12119083,0,2,0,Yes,12119083,12119083,0,0,0,Yes,12119083,12119083,0,0,0,Yes,12124434,12124434,0,0,0
Salvare,89439923,24,68,8,Yes,16020541,13020541,14,0,24,Yes,16272438,13022438,11,0,18,Yes,17347735,13026485,12,2,22,Yes,13719095,13036595,3,1,4,Yes,13038614,13038614,0,0,0,Yes,13041500,13041500,0,0,0
HonkaHonka,59992231,5,33,1,Yes,12754764,11154764,8,0,16,Yes,12177214,11177214,5,0,7,Yes,12630452,11197952,5,1,10,Yes,11213788,11213788,0,1,0,Yes,11216013,11216013,0,0,0,No,0,0,0,0,0
ItzBerndern,76861193,57,90,9,No,1753344,953344,4,1,8,Yes,18011633,14261633,14,1,22,Yes,18580534,14259284,12,3,22,Yes,19299617,14253991,11,1,20,Yes,19116349,14290097,10,0,18,No,99716,99716,0,0,0
burly kernel,66590450,30,23,0,Yes,14315150,12815150,8,0,15,Yes,14009577,12759577,5,0,8,No,253054,253054,0,1,0,Yes,12759577,12759577,0,1,0,Yes,12759577,12759577,0,0,0,Yes,12493515,12493515,0,0,0
SuperKlago,39676030,6,7,0,Yes,9632848,9332848,3,0,3,No,1993556,993556,3,1,4,Yes,9348112,9348112,0,0,0,Yes,9350559,9350559,0,0,0,No,0,0,0,0,0,Yes,9350955,9350955,1,0,0
TSP,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Aceth,82345106,6,62,0,Yes,14680691,11880691,13,0,22,Yes,13757832,11882832,8,0,10,Yes,14140416,11882916,8,1,13,Yes,14094492,11884492,7,2,10,Yes,13270813,11905813,3,0,5,Yes,12400862,11907268,3,0,2
Berk Law,89420593,34,59,1,Yes,15516212,12916212,12,1,20,Yes,13418735,12918735,2,1,3,Yes,14263735,12918735,7,1,9,Yes,15803059,12920715,7,2,13,Yes,14590910,12921222,3,1,5,Yes,15827942,12921222,6,0,9
Coup de grâce,43720290,7,4,0,Yes,11211724,10811724,2,0,4,No,0,0,0,0,0,Yes,10822455,10822455,0,0,0,No,0,0,0,0,0,Yes,10839006,10839006,0,0,0,Yes,10847105,10847105,0,0,0
Toughnoodles,80490489,8,42,1,Yes,14394999,11994999,10,0,18,Yes,13765532,12015532,6,0,9,Yes,13187779,12025279,4,1,6,Yes,13387598,12022598,4,2,5,Yes,12026009,12026009,0,0,0,Yes,13728572,12028415,3,0,4
Philadelphia Collins,100944172,65,81,0,Yes,17117461,14117461,13,1,24,Yes,16117461,14117461,7,0,11,Yes,16732494,14117494,8,2,15,Yes,16847494,14117494,8,1,13,Yes,15551873,14125935,4,0,6,Yes,18577389,14135043,7,0,12
Chapolin Colorado,71807981,3,18,0,No,1776303,976303,4,0,8,Yes,15205130,13705130,6,0,10,Yes,13701905,13701905,0,1,0,Yes,13701905,13701905,0,2,0,Yes,13711369,13711369,0,0,0,Yes,13711369,13711369,0,1,0
PantherNP,67681205,3,21,2,Yes,10395431,10395431,0,0,0,Yes,11651215,10401215,4,0,6,Yes,12378746,10408746,7,2,11,Yes,10408746,10408746,0,0,0,Yes,12428890,10417952,3,0,4,Yes,10418177,10418177,1,0,0
N7 Tesla,6149225,23,10,0,No,3430789,1930789,6,0,9,No,1199527,699527,1,0,1,No,840149,840149,1,1,0,No,228930,228930,0,0,0,No,449830,449830,0,0,0,No,0,0,0,0,0
MINI Mace Dymond,80612377,24,57,5,Yes,17169220,13769220,14,0,25,Yes,17269220,13769220,13,0,20,Yes,14771742,13771742,3,1,5,Yes,13771742,13771742,0,2,0,Yes,13785350,13785350,0,0,0,No,3845103,1377133,5,0,7
Pflapjack,80109351,39,23,1,Yes,14506865,12906865,9,0,16,Yes,13908562,12908562,4,1,7,Yes,12922262,12922262,0,1,0,Yes,12922262,12922262,0,1,0,Yes,12924700,12924700,0,0,0,Yes,12924700,12924700,0,0,0
rockoffanddie,86071857,57,85,1,Yes,16134153,13134153,13,0,24,Yes,15154298,13154298,7,0,11,Yes,15769298,13154298,8,2,15,No,6120497,2555653,9,1,14,Yes,16061018,13154298,8,0,9,Yes,16832593,13158060,8,0,12
Guiragon2,57573461,5,0,0,Yes,11506161,11506161,0,0,0,Yes,11506161,11506161,0,0,0,Yes,11506161,11506161,0,0,0,Yes,11506161,11506161,0,0,0,No,0,0,0,0,0,Yes,11548817,11548817,0,0,0
Yania May,62543951,28,5,0,No,0,0,0,0,0,Yes,12328928,12328928,0,0,0,Yes,12707949,12332949,2,2,3,Yes,12332949,12332949,0,0,0,Yes,12332949,12332949,0,0,0,Yes,12841176,12347582,1,0,2
dadslostcause,63258225,12,24,0,Yes,10564503,9864503,4,0,7,Yes,11131554,10006554,5,1,7,Yes,10945654,9921904,3,0,6,Yes,10672009,9989509,2,2,4,Yes,9968932,9968932,0,0,0,Yes,9975573,9975573,0,0,0
Fixer 40,37122147,5,2,0,Yes,12486185,12286185,1,0,2,Yes,12307481,12307481,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,Yes,12328481,12328481,0,0,0
Jhoots15,26360490,4,5,0,No,0,0,0,0,0,Yes,7299618,6299618,3,0,5,Yes,6326141,6326141,0,0,0,Yes,6363847,6363847,0,1,0,Yes,6370884,6370884,0,0,0,No,0,0,0,0,0
Wabba Dejabba,62463094,22,12,0,Yes,11767108,11767108,0,0,0,Yes,11767108,11767108,0,0,0,Yes,12108752,11767502,2,2,2,No,79335,79335,0,0,0,Yes,12767114,11779926,2,0,4,Yes,13973677,11779926,4,0,6
Gut0182,42426019,1,43,1,Yes,14646843,12246843,12,0,21,Yes,13750963,12250963,6,1,10,Yes,14028213,12254463,6,1,12,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
s0da p0pinski,105163333,45,82,4,Yes,17900947,14500947,14,1,25,Yes,18001577,14501577,14,0,20,Yes,16947105,14510855,8,3,14,Yes,14724414,14724414,0,1,0,Yes,18190900,14516367,6,0,9,Yes,19398390,14517294,9,0,14
Bobandy,96217730,76,63,0,Yes,17109387,14109387,14,0,24,Yes,16112675,14112675,7,1,11,Yes,16407187,14133437,7,1,13,Yes,16154531,14133437,5,0,8,Yes,15309531,14133437,6,0,6,Yes,15124419,14137231,1,0,1
MrJones7890,42196733,10,0,0,Yes,8413681,8413681,0,0,0,Yes,8424744,8424744,0,0,0,Yes,8442159,8442159,0,0,0,No,0,0,0,0,0,Yes,8456678,8456678,0,0,0,Yes,8459471,8459471,0,0,0
