Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
TheMonkeyBuddha,94183951,31,81,0,Yes,15073316,12773316,14,0,20,Yes,14648411,12773411,8,1,10,Yes,15388411,12773411,8,1,15,Yes,16533023,12779273,10,1,15,Yes,15535546,12787264,9,0,8,Yes,17005244,12790399,12,0,13
HonkaHonka,70153241,7,49,0,Yes,11894693,10094693,8,0,15,Yes,11740362,10115362,6,1,9,Yes,12047895,10115395,6,1,11,Yes,11821645,10115395,4,0,7,Yes,11491669,10126669,3,0,5,Yes,11156977,10133227,3,0,2
Pflapjack,62134711,82,0,0,Yes,12422571,12422571,0,0,0,Yes,12426950,12426950,0,1,0,Yes,12426950,12426950,0,0,0,Yes,12427573,12427573,0,2,0,Yes,12430667,12430667,0,0,0,No,0,0,0,0,0
rockoffanddie,96496575,65,93,0,Yes,15443986,12443986,14,0,24,Yes,14459342,12459342,8,0,11,Yes,14404127,12471627,7,2,11,Yes,16198761,12471417,12,1,15,Yes,17706496,12478057,13,0,16,Yes,18283863,12482611,11,0,16
Guiragon2,51609786,76,0,0,Yes,10167171,10167171,0,0,0,Yes,10187916,10187916,0,0,0,Yes,10200869,10200869,0,0,0,No,606172,606172,0,0,0,Yes,10223235,10223235,0,0,0,Yes,10224423,10224423,0,0,0
SuperKlago,34552789,5,8,0,Yes,8779918,8179918,4,0,6,No,463637,338637,1,1,1,No,691176,528676,3,0,1,Yes,8202966,8202966,0,0,0,Yes,8207225,8207225,1,0,0,Yes,8207867,8207867,0,0,0
Banshey,72329889,50,18,0,Yes,10639316,10639316,0,0,0,Yes,10889316,10639316,1,0,1,Yes,11391519,10641519,2,2,3,Yes,13379400,10649400,5,1,7,Yes,12668517,10657579,3,0,4,Yes,13361821,10704945,3,0,3
MINIxur'kthan,98132542,79,100,4,Yes,16037355,12637355,14,1,25,Yes,16138681,12638681,13,0,20,Yes,14735762,12620762,8,3,14,Yes,15915171,12624546,8,2,12,Yes,16617808,12622338,11,0,13,Yes,18687765,12624482,10,2,16
Coup de grâce,55761149,75,2,0,Yes,9209022,9209022,0,0,0,Yes,9216554,9216554,1,0,0,Yes,9220315,9220315,4,0,0,Yes,9559950,9218700,1,0,2,Yes,9268612,9268612,0,0,0,Yes,9286696,9286696,0,0,0
GrandMoff GOAT,59267502,57,44,0,Yes,13912643,12412643,8,0,15,No,718329,718329,0,0,0,No,2607130,1174630,5,1,10,Yes,13443578,12419828,3,0,6,Yes,14630968,12420968,5,0,9,Yes,13954854,12437510,3,0,4
Skcampy,71715110,12,43,0,No,3742063,2742063,5,0,10,Yes,14055325,12555325,6,0,10,Yes,14495804,12559554,7,1,13,Yes,13583304,12559554,3,0,6,Yes,13242054,12559554,2,0,4,Yes,12596560,12596560,0,0,0
Gut0182,52157225,7,31,0,Yes,12062613,11462613,3,0,6,Yes,12712613,11462613,5,1,8,Yes,13282290,11508540,6,1,12,No,0,0,0,0,0,No,1390764,367014,2,0,2,Yes,12708945,11522695,2,0,3
Lore Maestro,76048194,26,75,0,Yes,14628244,11728244,13,0,23,No,0,0,0,0,0,Yes,13498803,11725053,7,3,12,Yes,17187604,11754010,12,1,18,Yes,17333937,11754092,12,0,15,Yes,13399606,11756324,4,0,7
s0da p0pinski,104344623,74,97,0,Yes,17302822,13902822,14,1,25,Yes,16277822,13902822,10,0,14,Yes,16519208,13904208,8,3,15,Yes,17813265,13897015,12,1,17,Yes,20140324,13904385,13,1,18,Yes,16291182,13904463,8,1,8
PantherNP,60153435,5,17,1,Yes,9409026,9409026,0,0,0,Yes,10914088,9414088,5,0,8,Yes,9755624,9414374,3,1,2,Yes,10793517,9428517,3,1,5,Yes,9807006,9465756,2,0,2,Yes,9474174,9474174,0,0,0
PaulB086,93334519,101,63,0,Yes,15801190,13201190,12,0,20,Yes,14954067,13204067,6,1,9,Yes,14715678,13211928,5,1,8,Yes,16282499,13211249,6,1,11,Yes,15602565,13213815,5,0,7,Yes,15978520,13218051,5,0,8
cfcmattw,60401038,1,32,1,Yes,12386827,10886827,8,0,12,Yes,12637124,10887124,7,1,10,Yes,11730279,10889029,4,1,6,Yes,12757779,10889029,3,0,4,Yes,10889029,10889029,0,0,0,No,0,0,0,0,0
8,83085791,35,40,0,Yes,15202778,12702778,12,0,19,Yes,14677790,12677790,8,0,11,Yes,14112483,12679983,5,1,7,Yes,13706325,12682575,2,2,3,Yes,12691817,12691817,0,0,0,Yes,12694598,12694598,0,0,0
Only Bak,49505465,14,24,0,Yes,10617262,9517262,6,0,11,Yes,9517262,9517262,0,0,0,No,8488600,7738600,3,1,6,No,1160517,656767,2,1,3,Yes,10202162,9519662,2,0,4,Yes,9519662,9519662,0,0,0
DoritosJesus,54197864,4,35,0,Yes,13999608,11999608,10,0,20,Yes,13005229,12005229,4,0,6,No,155197,155197,0,1,0,Yes,13037158,12013408,3,2,6,No,0,0,0,0,0,Yes,14000672,11989734,3,0,3
CloneOfPumbaa,48927398,5,0,0,Yes,12230164,12230164,0,0,0,Yes,12230164,12230164,0,0,0,No,0,0,0,0,0,Yes,12230164,12230164,0,0,0,Yes,12236906,12236906,0,0,0,No,0,0,0,0,0
OhMyPretzel,70821625,17,15,0,Yes,12462377,11462377,5,0,10,Yes,12462377,11462377,3,0,5,Yes,11462377,11462377,0,1,0,Yes,11478010,11478010,0,0,0,Yes,11478010,11478010,0,0,0,Yes,11478474,11478474,0,0,0
Seeuker,47094515,1,5,0,No,0,0,0,0,0,Yes,11400129,11400129,0,0,0,Yes,11409569,11409569,0,1,0,Yes,12774569,11409569,3,1,5,No,96773,96773,0,0,0,Yes,11413475,11413475,0,0,0
GET WRECKED,53596728,4,27,0,Yes,10921685,9021685,8,0,13,Yes,9782084,9032084,2,0,3,No,1519307,769307,2,1,3,Yes,11253042,9043042,4,1,4,Yes,10075807,9052057,2,0,3,Yes,10044803,9057615,4,0,1
Salvare,83568916,17,51,1,Yes,15454603,12454603,14,0,24,Yes,13957108,12457108,6,0,10,Yes,14556930,12461930,8,2,12,Yes,12454073,12454073,0,0,0,Yes,12457055,12457055,0,0,0,Yes,14689147,12458834,4,0,5
ItzBerndern,94885010,57,72,4,Yes,16288770,13688770,13,1,21,Yes,17066544,13691544,13,1,21,Yes,16650071,13693821,9,3,13,Yes,15061327,13696327,2,0,8,Yes,14046576,13705326,1,2,2,Yes,15771722,13699847,5,2,7
Viirx,12228777,3,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,106078,106078,0,0,0,Yes,12122699,12122699,0,0,0
burly kernel,78286787,10,32,0,Yes,14156676,12356676,9,0,18,Yes,13611086,12361086,5,0,8,Yes,12697443,12356193,1,1,2,Yes,13044859,12362359,2,1,4,Yes,12380764,12380764,0,0,0,Yes,12395959,12395959,0,0,0
Berk Law,88427493,17,69,0,Yes,14425805,12325805,10,0,18,Yes,13834867,12334867,7,1,10,Yes,13470247,12341497,5,0,8,Yes,15937920,12362920,8,2,14,Yes,15702296,12362920,7,1,9,Yes,15056358,12362920,6,0,10
Toughnoodles,81645927,4,59,0,Yes,13588418,11188418,11,0,18,Yes,12952544,11202544,6,0,9,Yes,12678451,11212201,5,2,8,Yes,14278527,11207277,6,1,8,Yes,14492308,11258558,6,0,9,Yes,13655679,11266929,5,1,7
Philadelphia Collins,99591811,42,86,0,Yes,16465311,13565311,13,0,23,Yes,15572270,13572270,7,0,11,Yes,16014201,13577951,8,1,14,Yes,18862671,13581421,11,2,18,Yes,17450953,13581421,8,1,13,Yes,15226405,13583123,4,1,7
Saki,56670313,11,27,0,Yes,9937236,8837236,6,0,11,Yes,9587236,8837236,3,0,5,Yes,9551936,8835686,3,1,5,Yes,9181605,8840355,2,2,2,Yes,9184840,8843590,2,0,2,Yes,9227460,8845585,2,0,2
